Russian National Football League,,SKA Khabarovsk,Shinnik Yaroslavl,2-2,4,0-0,2-2,5,29,6,24,28,104,24,63,18,66,11,41,27,14,3,10,51.9,12,44.4,12,44.4,14,8,2,4,57.1,5,35.7,7,50,13,6,1,6,46.2,7,53.8,5,38.5,27,12,1,14,44.4,16,59.3,11,40.7,13,5,0,8,38.5,7,53.8,6,46.2,14,7,1,6,50,9,64.3,5,35.7
Lithuania - 1.Division,,Suduva,Banga Gargzdai,1-0,1,0-0,1-0,33,87,22,80,17,11,10,27,27,49,17,57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Russian National Football League,,FK Angusht Nazran,Sibir Novosibirsk,2-2,4,1-2,1-0,21,59,12,46,2,27,2,19,7,47,7,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Russian National Football League,,FK Angusht Nazran,Torpedo moskva,0-2,2,0-2,0-0,32,78,21,67,17,22,11,27,24,48,15,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,27,14,3,10,51.9,12,44.4,14,51.9,15,9,2,4,60,8,53.3,6,40,12,5,1,6,41.7,4,33.3,8,66.7
Russian National Football League,,FK Angusht Nazran,Baltika Kaliningrad,1-2,3,1-1,0-1,20,46,13,45,12,24,7,16,17,37,13,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,27,14,4,9,51.9,10,37,14,51.9,13,7,1,5,53.8,5,38.5,7,53.8,14,7,3,4,50,5,35.7,7,50
Ukrainian Premier League,,Dynamo Kyiv,Volyn,3-0,3,3-0,0-0,9,38,8,15,28,118,18,66,23,72,13,42,23,10,2,11,43.5,10,43.5,11,47.8,12,3,2,7,25,3,25,7,58.3,11,7,0,4,63.6,7,63.6,4,36.4,5,3,2,0,60,1,20,2,40,2,2,0,0,100,1,50,0,0,3,1,2,0,33.3,0,0,2,66.7
Russian National Football League,,FK Sochi,Alania Vladikavkaz,3-0,3,0-0,3-0,52,69,6,34,24,32,2,16,49,64,6,24,22,11,1,10,50,8,36.4,12,54.5,12,4,1,7,33.3,4,33.3,7,58.3,10,7,0,3,70,4,40,5,50,5,2,0,3,40,2,40,2,40,3,1,0,2,33.3,2,66.7,1,33.3,2,1,0,1,50,0,0,1,50
Primera Division de Uruguay,,CA Atenas,Tacuarembo,2-1,3,1-0,1-1,20,60,25,68,5,23,8,31,11,43,13,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Russian National Football League,,SY Sakhalinsk,Volgar-Gazprom Astrachan,2-2,4,2-2,0-0,34,70,10,61,11,23,2,20,23,39,5,34,6,1,2,3,16.7,3,50,3,50,2,0,1,1,0,2,100,0,0,4,1,1,2,25,1,25,3,75,,,,,,,,,,,,,,,,,,,,,,,,,,,
Slovenia 1.Liga,,Domzale,NK Publikum Celje,2-0,2,0-0,2-0,12,41,3,23,44,98,10,73,36,68,3,45,25,4,4,17,16,16,64,8,32,13,2,3,8,15.4,6,46.2,6,46.2,12,2,1,9,16.7,10,83.3,2,16.7,25,15,1,9,60,15,60,10,40,13,8,0,5,61.5,8,61.5,5,38.5,12,7,1,4,58.3,7,58.3,5,41.7
